Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Fixed broadband subscriptions,IT.NET.BBND,Argentina,ARG,..,..,6519458,6855837,7251673,7842778,8473655,8793181,9571562,10489794,11208114,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Argentina,ARG,..,..,15.22382257,15.84905726,16.60628602,17.80239782,19.07896627,19.65153383,21.25312017,23.16815374,24.62763279,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 06/28/2024,,,,,,,,,,,,,,,
